config_name,mse,precision,recall,novelty,diversity,mae,hits,p_name,p_alpha_cf,p_temperature,p_top_k,p_svd_components,p_shrink_term,p_use_popularity_bias,p_popularity_weight,p_use_probabilistic_sampling,p_sampling_top_k_pool,p_award_weight,p_director_weight,p_runtime_weight,p_runtime_outside_malus,p_missing_runtime_malus,p_forbidden_genre_malus,p_missing_year_malus,p_year_below_malus_per_year,p_random_seed,p_verbose_users
G8_UltraRes_150,0.007848327803215,0.026511134676564158,0.02040217388596025,12.40487689757533,0.5743372216330858,0.050034326334298745,0.2651113467656416,G8_UltraRes_150,0.8,2.0,10,150,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G8_ExtremeRes_300,0.007849285344752273,0.025556733828207848,0.020246195945341293,12.387909669483175,0.5757158006362674,0.05001651427379028,0.25556733828207845,G8_ExtremeRes_300,0.8,2.0,10,300,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G9_Widget_Small,0.015105488788988734,0.02014846235418876,0.004099558982548662,12.505047046036355,1.2350653941322023,0.08215857042419922,0.060445387062566275,G9_Widget_Small,0.5,2.0,3,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G9_Widget_Std,0.007847599272144288,0.02863202545068929,0.02093353649616965,12.397023653250551,0.5623541887592789,0.050063230059835685,0.2863202545068929,G9_Widget_Std,0.5,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G9_Page_Medium,0.003972299916782884,0.021633085896076352,0.038522797575565815,12.675920045910594,0.3171580063626724,0.029504986896634014,0.5408271474019088,G9_Page_Medium,0.5,2.0,25,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G9_Page_Large,0.0022038197776181063,0.018197242841993637,0.060032320956600105,12.844319336010516,0.19938494167550375,0.018667970071099892,0.9098621420996819,G9_Page_Large,0.5,2.0,50,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G9_Catalog_Deep,0.0011733536117683396,0.015514316012725345,0.09940401175391542,13.030628929941672,0.1259066808059385,0.01148805995413264,1.5514316012725344,G9_Catalog_Deep,0.5,2.0,100,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G10_Time_Agnostic,0.007868183173625662,0.045068928950159064,0.024198691587147107,10.727808617981195,0.702439024390244,0.0514675871353736,0.45068928950159065,G10_Time_Agnostic,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,0.0,1.0,50.0,0.1,0.05,42,0
G10_Time_Flexible,0.007844269207634086,0.03414634146341464,0.023607712252743978,12.207656782100077,0.5865323435843053,0.049906497883855885,0.34146341463414637,G10_Time_Flexible,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,2.0,1.0,50.0,0.1,0.05,42,0
G10_Time_Standard,0.007854368614675901,0.029480381760339344,0.022354533314833485,12.423155016899383,0.5622481442205727,0.050065790257274284,0.2948038176033934,G10_Time_Standard,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,5.0,1.0,50.0,0.1,0.05,42,0
G10_Time_Strict,0.007854561529908044,0.029480381760339344,0.022354533314833485,12.423155016899383,0.5621420996818662,0.050070033998831864,0.2948038176033934,G10_Time_Strict,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,20.0,1.0,50.0,0.1,0.05,42,0
G10_Time_Nazi,0.007854593492755088,0.029480381760339344,0.022354533314833485,12.423155016899383,0.5621420996818662,0.05007055073353388,0.2948038176033934,G10_Time_Nazi,0.3,2.0,10,30,5,False,0.0,False,50.0,5.0,5.0,3.0,100.0,1.0,50.0,0.1,0.05,42,0
